# number of matrix elements
10000
i j k l Vbar
1 1 9 7 0
1 1 9 8 0
1 1 9 9 0
1 2 0 0 0
1 2 0 1 -6.49961
1 2 0 2 0
1 2 0 3 -6.61607
1 2 0 4 0
1 2 0 5 -4.63569
1 2 0 6 0
1 2 0 7 -2.80427
1 2 0 8 0
1 2 0 9 -1.57033
1 2 1 0 6.49961
1 2 1 1 0
1 2 1 2 6.61607
1 2 1 3 0
1 2 1 4 4.63569
1 2 1 5 0
1 2 1 6 2.80427
1 2 1 7 0
1 2 1 8 1.57033
1 2 1 9 0
1 2 2 0 0
1 2 2 1 -6.61607
1 2 2 2 0
1 2 2 3 -4.13051
1 2 2 4 0
1 2 2 5 -3.34531
1 2 2 6 0
1 2 2 7 -2.64882
1 2 2 8 0
1 2 2 9 -1.91597
1 2 3 0 6.61607
1 2 3 1 0
1 2 3 2 4.13051
1 2 3 3 0
1 2 3 4 3.34531
1 2 3 5 0
1 2 3 6 2.64882
1 2 3 7 0
1 2 3 8 1.91597
1 2 3 9 0
1 2 4 0 0
1 2 4 1 -4.63569
1 2 4 2 0
1 2 4 3 -3.34531
1 2 4 4 0
1 2 4 5 -2.49034
1 2 4 6 0
1 2 4 7 -2.04299
1 2 4 8 0
1 2 4 9 -1.67603
1 2 5 0 4.63569
1 2 5 1 0
1 2 5 2 3.34531
1 2 5 3 0
1 2 5 4 2.49034
1 2 5 5 0
1 2 5 6 2.04299
1 2 5 7 0
1 2 5 8 1.67603
1 2 5 9 0
1 2 6 0 0
1 2 6 1 -2.80427
1 2 6 2 0
1 2 6 3 -2.64882
1 2 6 4 0
1 2 6 5 -2.04299
1 2 6 6 0
1 2 6 7 -1.61644
1 2 6 8 0
1 2 6 9 -1.34737
1 2 7 0 2.80427
1 2 7 1 0
1 2 7 2 2.64882
